NPA,Bicycle Friendliness,Employment,Food and Nutrition Services,High Speed Internet Access,Home Ownership,Home Sales Price,Household Income,Housing Assistance – Development-Based,Housing Code Violations,Neighborhood Organizations,Nuisance Violations,Population - Youth,Proximity to a Grocery Store,Proximity to a Pharmacy,Proximity to Early Care and Education,Proximity to Financial Services,Proximity to Public Outdoor Recreation,Proximity to School-Age Care,Rental Costs,Single-Family Housing,Test Proficiency - Elementary School,Test Proficiency - High School,Test Proficiency - Middle School,Tree Canopy
254,2,100%,24.2%,83%,12.9%,"$316,484","$61,279",0%,0,2,2,2.2%,1.7%,85.8%,44.4%,41.3%,65.4%,44.8%,"$1,612",2%,25%,--,20%,43.9%
255,1,94.1%,4.7%,87.2%,48.6%,"$1,479,926","$125,588",0%,0,10,1,22.5%,32.6%,10.4%,30.3%,48.5%,37.6%,37.9%,"$2,000",39.9%,84%,81.1%,79.2%,55.7%
256,1,98.8%,5%,94.3%,94%,"$477,179","$182,960",0%,0,1,1,28.4%,0%,0%,10.7%,0%,24.1%,22.2%,"$2,856",93.3%,78.6%,57.4%,52.9%,71.4%
257,2,94.9%,6.9%,90.4%,39.6%,"$271,462","$120,728",0%,0,2,2,36%,53.4%,69.1%,96.5%,48.9%,84.3%,99%,"$2,088",42.6%,68.5%,76.5%,74.7%,57.8%
258,2,86.8%,27%,86.9%,72.2%,"$505,523","$68,875",16.3%,0,6,16,21%,23.7%,5%,78.4%,0%,73.5%,78.3%,"$1,544",83.7%,44.2%,33.3%,31.7%,52.8%
259,1,99.3%,28.4%,70%,24.2%,"$969,519","$60,755",0%,0,4,5,22.7%,0.6%,45%,99.3%,44.6%,70.2%,97.9%,"$1,526",55.4%,29.5%,26.5%,30.6%,50.4%
260,2,97.1%,20%,80.5%,56.1%,"$308,974","$51,250",5.4%,0,17,19,13.8%,7.6%,7.6%,68.9%,6.7%,53.2%,55.7%,"$1,176",87.3%,17.4%,51.2%,22.9%,33.6%
261,2,98.3%,7.6%,88.5%,85.7%,"$362,567","$103,000",0%,0,4,9,18.6%,1.2%,0%,16.7%,0.2%,100%,1.5%,"$2,075",100%,45.1%,26.7%,49%,72.8%
262,2,97.1%,1.9%,91.1%,97.1%,"$223,771","$149,528",0%,0,7,4,21.4%,14.8%,18.8%,1.2%,10.6%,11.1%,1.2%,--,83.5%,72%,80%,76.2%,60.6%
263,2,98%,1.7%,86.9%,91.1%,--,"$130,588",0%,0,6,3,20.7%,21.6%,20%,38.7%,7.4%,56.5%,41%,--,79.8%,84.4%,66.7%,85.7%,56.7%
264,2,93.3%,19.3%,79.2%,46.7%,"$254,182","$79,384",0%,1,7,3,16.6%,43.6%,84.6%,40.5%,0%,100%,40.5%,"$1,405",38.3%,24.4%,53.3%,29.3%,53.8%
265,2,97.7%,12.2%,91.3%,71.7%,"$203,000","$71,875",0%,0,6,8,20.6%,0%,0%,68%,0%,79.6%,68%,"$1,914",99.8%,55.6%,35.3%,62.5%,51.6%
266,1,97.2%,16.3%,76%,72.7%,"$318,135","$101,343",0%,0,4,6,22%,26.9%,23.8%,33.7%,0%,69.5%,33.7%,"$2,187",99.9%,38%,45.5%,41.3%,63.5%
267,1,95%,11.4%,86.9%,81%,"$197,318","$100,694",0%,0,7,2,25%,0%,0%,47.5%,0%,51.3%,42.9%,"$1,693",100%,48%,48.5%,43.1%,63.5%
268,2,97.6%,24.4%,90.7%,65.5%,"$385,500","$54,145",11.1%,0,2,10,26.3%,43.1%,40.1%,100%,0%,82.1%,100%,"$1,604",88.9%,50%,36.4%,35.1%,47.3%
269,2,93.1%,6.4%,93.8%,66.7%,"$387,432","$112,130",0%,0,3,3,17.9%,86.4%,53%,29%,51.3%,7.2%,1%,"$1,604",54.7%,60.4%,85%,76.8%,61.8%
270,2,94.3%,30.4%,86.3%,0%,"$484,471","$41,402",0%,2,1,1,8.3%,0%,100%,0%,100%,100%,100%,"$1,341",0%,15.3%,23.1%,20.5%,38.7%
271,2,90.5%,28.8%,59.6%,79.6%,"$400,735","$63,426",0%,1,5,42,17.7%,21.1%,25.3%,100%,0%,100%,100%,"$1,638",100%,37%,44.4%,28.6%,41.3%
272,1,90.3%,28.2%,91.1%,0%,"$538,559","$57,019",0%,0,0,7,21%,6.9%,45%,6.9%,45.1%,100%,6.9%,"$1,570",0%,45.2%,41.2%,22.7%,54.3%
273,1,96.6%,21.7%,89.1%,70.1%,"$311,079","$91,538",0%,0,2,5,20.8%,2.7%,0%,0%,0%,43.5%,--,"$1,787",88.9%,41.4%,55.6%,37.7%,27.8%
274,2,94.9%,25.6%,96.4%,0%,"$409,216","$80,962",0%,0,0,2,22.8%,48%,100%,100%,100%,100%,100%,"$1,583",0%,35.7%,28.6%,22.2%,33.6%
275,1,97.8%,16.3%,80.4%,58.6%,"$475,682","$80,192",6.1%,0,11,4,22%,42%,45.6%,54.8%,0%,98.1%,60.8%,"$1,804",50.1%,28.3%,33.3%,37.5%,53.4%
276,1,100%,14.5%,88.8%,90.5%,"$507,566","$122,750",0%,0,2,11,27.4%,0%,0%,6.9%,0%,75.9%,31.9%,--,100%,40.7%,41.2%,39.6%,42%
277,2,98.7%,13.4%,100%,91.9%,"$772,545","$143,417",0%,0,5,1,21.3%,0%,0%,81.4%,0%,37.8%,96.3%,"$2,627",97%,48.9%,45%,36%,35.9%
278,1,98.6%,37.2%,93%,9.4%,"$215,231","$47,356",8.4%,0,2,7,14.9%,51.9%,96.1%,100%,0%,100%,100%,"$1,320",17.8%,26%,33.3%,21.6%,38.1%
279,3,100%,20.6%,93%,46.7%,"$279,819","$58,224",0%,0,1,1,16%,67.5%,85.5%,68.3%,0%,69.4%,68.3%,"$1,348",0%,21.1%,40%,35.7%,34.4%
280,1,100%,35.4%,72.9%,30.6%,"$595,824","$60,417",0%,2,4,23,51.6%,0.1%,0%,0%,0.1%,0%,--,"$1,231",62%,31.4%,21.7%,17.8%,30.6%
281,1,96.5%,20.7%,92.8%,57.3%,"$281,525","$65,728",0%,0,1,9,29%,100%,100%,100%,0%,22.2%,100%,"$1,819",0.2%,39.4%,31.8%,25.9%,20.3%
282,2,99.6%,29.2%,75.2%,62.2%,"$282,110","$62,273",0%,1,2,20,18.6%,0%,0%,53.1%,0%,63.5%,8.6%,"$2,023",99.8%,22.2%,30%,25%,57.5%
283,2,99.6%,26.9%,85.5%,58.1%,"$339,057","$60,769",9.1%,0,8,8,23.3%,0%,23.1%,75.2%,14.6%,68.5%,2.8%,"$1,432",80.6%,37.7%,35.5%,31.3%,53.7%
284,2,95.3%,3.7%,87.8%,47.6%,"$413,273","$126,730",0%,0,1,0,19.4%,67.7%,59.9%,64%,67.9%,0.5%,64.5%,"$1,872",41.2%,85.9%,88.5%,88.7%,66.7%
285,2,--,--,--,--,"$741,491",--,0%,0,--,68,--,0%,0%,0%,0%,0%,--,--,1%,--,--,--,24%
286,2,98.9%,23.7%,50%,72.6%,"$594,247","$95,227",0%,0,0,133,20.5%,0%,0%,0%,0%,0%,--,"$1,081",98.6%,41.4%,0%,39.1%,43.3%
287,--,100%,18.1%,94.5%,1%,"$338,672","$66,927",0%,--,2,2,29.2%,93.3%,99.9%,75.5%,85.5%,95%,75.3%,"$1,510",2.9%,38.4%,50%,27.8%,42.1%
288,--,97.9%,9.9%,91.2%,70.7%,"$357,864","$123,125",0%,--,3,1,16.3%,39.5%,14.5%,99.4%,63.4%,86.3%,99.4%,"$1,499",51.4%,48.8%,63.6%,52.1%,73.1%
289,2,93.7%,17.1%,86.8%,78.2%,"$383,779","$122,441",0%,0,5,5,35.4%,17.4%,18.5%,43.9%,25.8%,81.2%,59.2%,"$2,230",81.6%,55.2%,54.9%,42.6%,51.7%
290,2,99.8%,44.5%,83.8%,38%,"$385,626","$93,359",0%,0,3,5,13%,15.5%,3.4%,65.4%,42.1%,0.2%,88.2%,"$1,825",6.7%,34.8%,50%,26.3%,12.6%
291,1,100%,37.4%,69%,7.4%,"$309,455","$46,365",0%,1,1,14,23.3%,0%,0%,98.7%,0%,96.3%,98.7%,"$1,234",16.1%,28.9%,19.2%,19.5%,29.6%
292,2,100%,59.3%,43%,32%,--,"$35,541",14.2%,3,1,24,20.5%,0%,34%,100%,0%,100%,100%,$974,49%,23.9%,23.1%,14%,28.9%
293,2,94.9%,41.7%,72.6%,39.4%,"$270,654",--,0%,1,4,47,9.2%,57.8%,1.3%,100%,47.2%,100%,100%,"$1,221",96.1%,8%,8.3%,13.6%,39.8%
294,2,89.4%,69.3%,44%,15.5%,--,"$40,667",0%,2,6,17,20.1%,0%,25.2%,100%,22.9%,99.8%,100%,$974,29.8%,14.6%,0%,12.9%,44%
295,2,94.9%,55.6%,63%,54%,"$340,097","$43,813",51.2%,0,3,11,27.9%,0%,0%,100%,0%,100%,--,--,49.2%,22.9%,36.4%,20.8%,22.3%
296,2,95%,11.9%,85.6%,87.6%,"$565,875","$98,571",0%,0,5,2,28.7%,0%,17.3%,39.3%,0%,19.7%,--,"$1,668",74.1%,55.4%,59%,49.1%,37.4%
297,2,100%,--,90.4%,100%,--,"$250,001",0%,0,1,0,35.2%,46%,86.7%,68%,0%,12%,68%,--,100%,60%,--,--,74.1%
298,--,92.5%,25.4%,84%,12.3%,"$460,628","$53,056",0%,--,1,0,23.6%,100%,100%,95.7%,100%,76.7%,95.7%,"$1,365",0%,35.9%,22.2%,28.6%,24.4%
299,1,98.8%,22.9%,79.4%,59.9%,"$374,961","$68,063",0%,0,5,7,26.7%,0%,0%,73.3%,4.5%,23.3%,71.6%,"$1,747",60%,30.2%,44.4%,36.6%,35.3%
300,--,100%,3.2%,72%,8.9%,"$325,111","$26,000",0%,--,0,0,0.7%,100%,100%,100%,80.7%,78.9%,99.8%,"$1,235",5.7%,33.3%,--,--,31.8%
301,1,94.7%,16%,77.4%,83.9%,"$287,267","$101,964",0%,0,3,8,21.3%,0%,0%,74.2%,1.9%,5.1%,74.2%,"$1,738",99.9%,23.1%,36%,26.7%,37.3%
302,1,100%,9.3%,87.3%,56.1%,"$281,071","$107,167",0%,0,1,0,25%,51.6%,23.4%,22.2%,22.5%,43.6%,42.2%,"$1,324",58.5%,58.5%,62.5%,55.4%,65.6%
303,2,76.1%,18.6%,87.5%,8%,"$494,444","$47,644",5.7%,1,1,3,21.2%,85.5%,85.9%,98.6%,97.9%,12%,98.6%,"$1,221",15%,32.6%,26.7%,37%,49.4%
304,2,92.9%,35.4%,54.9%,2%,--,"$39,706",0%,3,1,3,32.3%,0%,0%,100%,0%,0%,100%,"$1,021",2.1%,17%,23.1%,14.8%,13%
305,2,95.9%,34.6%,68.1%,95%,"$273,457","$57,997",0%,1,4,9,21.7%,0%,40.3%,100%,32.2%,78.3%,67.8%,--,67.8%,35.6%,27.8%,19.2%,47.4%
306,1,85.6%,89.5%,36.5%,4.8%,"$321,000","$9,643",71.7%,3,0,27,44.5%,0%,0%,99.8%,0%,99.2%,94.5%,$310,11.2%,18.9%,11.1%,15.5%,38.3%
307,2,94.8%,20%,67.9%,51.7%,"$308,286","$54,656",0%,0,6,16,26%,18.7%,40.9%,93.7%,0%,3.8%,93.7%,"$1,644",51.3%,36.4%,34.1%,24.6%,58.7%
308,1,100%,3.1%,73.9%,80.5%,"$495,638","$116,094",0%,0,1,9,34.1%,64.5%,68.2%,64.7%,33.9%,95.7%,63.5%,"$3,016",100%,90.3%,76.7%,95.2%,55.8%
309,2,86.4%,3.7%,88.4%,93.7%,"$508,933","$121,364",0%,0,1,1,27.7%,0%,0%,18.8%,0%,35.5%,33.3%,"$2,174",86.4%,79.4%,75%,80%,73.6%
310,2,96.9%,7.2%,88.9%,87.4%,"$443,261","$96,250",0%,0,1,3,25.2%,66.1%,58.4%,69.4%,74.3%,15.3%,69.4%,"$1,951",82.7%,78.1%,81.8%,71.6%,56.2%
311,2,98.4%,36.6%,67.1%,40%,"$385,632","$43,750",0%,3,7,42,1.6%,0%,8.3%,87.1%,46.7%,100%,67.9%,"$1,179",95.5%,37%,27.3%,15.6%,29.6%
312,2,96%,39.6%,87.6%,30.2%,"$297,000","$67,601",7.1%,1,1,20,31.8%,66.3%,81%,100%,64.5%,91.2%,100%,"$1,316",43.2%,12.6%,13.6%,15.7%,36.4%
313,1,85.3%,26.4%,93.5%,62.5%,"$323,225","$65,648",6.1%,1,2,8,28.8%,0%,0%,5.7%,0%,2.8%,0.6%,"$1,245",56.6%,20.9%,31.3%,29.6%,44.2%
314,2,95%,34.1%,82.8%,29.6%,"$441,888","$49,904",0%,1,1,13,39.3%,5.1%,13.4%,98.9%,0%,100%,99%,"$1,209",44.9%,22%,15.4%,16.8%,37.2%
315,2,98.4%,2.4%,75%,16.1%,"$646,853","$100,560",0%,1,4,11,2.8%,90.1%,100%,100%,76.2%,96.1%,100%,"$1,914",19.1%,75%,--,50%,26.1%
316,2,96.1%,31.9%,74.7%,35.6%,"$336,968","$45,634",0%,2,2,13,31.7%,77.8%,78.4%,100%,69.1%,99.9%,100%,"$1,092",35.7%,26.5%,25%,21.6%,30.9%
317,2,77.2%,53.6%,62.1%,0%,"$440,867",--,0%,2,1,27,47%,0%,0%,44.7%,0%,100%,44.7%,"$1,098",68.4%,13.8%,11.1%,12.5%,40.7%
318,2,94.4%,12.8%,90.7%,61.5%,"$408,826","$85,962",13.4%,0,2,10,14.7%,47.9%,35.4%,48.5%,43%,31%,48.5%,"$1,572",67.5%,47.6%,80%,47.4%,75.2%
319,2,96.7%,18.9%,73.6%,71.6%,"$305,406","$74,167",5.9%,0,2,11,23.9%,11.9%,13.2%,99.9%,11.2%,67%,94.8%,"$1,726",57.7%,46.1%,40.7%,36.6%,52.2%
320,2,100%,1.1%,100%,92.6%,"$943,911","$250,001",0%,0,2,28,41%,78.2%,60.3%,58.1%,58.1%,100%,80.2%,--,94.9%,84.4%,88.2%,83.7%,32.3%
321,2,89.3%,58.3%,52.7%,24.1%,"$256,733","$39,643",0%,3,8,73,13.4%,0%,0%,100%,0%,100%,99.8%,"$1,262",64.6%,36.7%,12.5%,37%,34.9%
322,2,93.1%,23.9%,82.6%,72.4%,"$294,574","$94,063",0%,0,2,17,17.4%,0%,0%,83.6%,0%,6.6%,83.6%,"$1,570",100%,23.5%,38.9%,26.5%,41.7%
323,2,97.6%,35.3%,75.9%,75.5%,"$285,867","$60,785",9.5%,0,1,21,21.6%,23.7%,42.4%,100%,38.6%,8.6%,64%,"$1,119",82.4%,23%,26.7%,29.6%,39.2%
324,1,99.3%,15.1%,92%,94.4%,"$406,566","$178,583",0%,0,3,5,20.3%,0%,18.6%,0.4%,0%,80.9%,20.5%,"$2,000",100%,46.2%,35.7%,30.8%,68.1%
325,2,91.6%,21.6%,82%,58.8%,"$256,994","$66,685",3.1%,1,14,24,22.6%,56.8%,70.5%,90.4%,36.9%,44.8%,87.8%,"$1,163",64.1%,40.2%,37%,32.9%,58.3%
326,2,97.5%,38.1%,54.3%,55.1%,"$351,706",--,0%,2,2,26,19.6%,0%,0%,75.1%,0%,100%,75.1%,"$1,285",60.2%,19.2%,0%,4%,40.9%
327,2,86.9%,62.5%,74.1%,46.3%,"$286,682","$52,476",10.9%,1,3,22,18.2%,58%,56.1%,100%,71.4%,28.6%,100%,"$1,108",36.2%,24.1%,14.3%,26.1%,33.8%
328,2,100%,29.2%,87.6%,70.6%,"$311,315",--,0%,0,2,23,19.6%,60.6%,57.8%,27.2%,0%,69.2%,--,--,76.1%,33.3%,30.8%,29.1%,32.7%
329,2,100%,27.1%,83.4%,71.2%,"$285,802","$79,205",0%,0,2,9,27.9%,5.6%,27.5%,76.4%,0.1%,50.1%,74.1%,"$1,731",80.9%,32.2%,37.9%,36.1%,40.2%
330,1,98.3%,32.9%,88.9%,71.2%,"$313,216","$93,317",0%,0,2,15,34.2%,0%,0%,0%,0%,18.7%,18.7%,"$2,061",99.9%,51.8%,29%,39.5%,46%
331,2,96%,29.6%,88.9%,13.2%,"$292,600","$69,453",0%,0,5,10,5.3%,36.1%,33%,77.8%,58.9%,34.7%,77.8%,"$1,687",8.9%,36.2%,41.7%,40%,33%
332,1,99%,23.8%,81.4%,81.2%,"$344,652","$76,676",0%,0,3,12,28.5%,0%,0%,0%,0%,0%,--,"$1,733",90.3%,42%,42.9%,44.6%,45.3%
333,2,94.2%,28.6%,71.3%,76.7%,"$290,789","$73,153",0%,0,2,16,22.9%,0%,0.9%,85.7%,13.1%,62.3%,85.7%,"$2,002",100%,42.3%,29.5%,32.7%,47.8%
334,2,100%,8%,100%,0%,--,"$87,927",0%,0,0,0,26.5%,0%,0%,100%,0%,100%,--,"$1,437",0%,47.8%,--,70%,30.7%
335,--,96.2%,3.8%,79.6%,82.2%,"$452,285","$103,586",0%,--,1,2,26.9%,33.7%,51.3%,6.3%,43.3%,8.1%,4.6%,"$2,221",87.7%,70.2%,76.4%,69.8%,52.4%
336,2,94.2%,20.4%,90.7%,50.5%,"$356,019","$74,271",0%,1,2,2,27.3%,32.7%,44.5%,34.3%,0%,17.6%,50.2%,"$1,718",37.1%,27.4%,42.9%,38.8%,46.2%
337,1,98.3%,11.2%,94.8%,84.7%,"$415,994","$91,597",0%,0,6,6,20.9%,0%,0%,46.9%,0%,44.4%,--,"$1,903",79.3%,35.3%,76.9%,35.6%,58.9%
338,2,98.2%,6.5%,86%,0%,"$646,307","$97,812",0%,0,3,0,0.9%,97.7%,96.7%,100%,97.7%,49.5%,38%,"$1,932",0%,0%,--,21.4%,2%
339,2,100%,3.2%,92.4%,5.2%,"$665,386","$73,370",0.6%,0,3,1,1.1%,0%,99.4%,98.7%,99.8%,100%,73.7%,"$1,759",1.1%,--,--,40%,4.4%
343,2,91.3%,6.6%,87.6%,50.8%,"$605,434","$102,639",4.1%,0,6,15,14.9%,46.5%,44.1%,100%,0%,100%,100%,"$1,640",40.7%,80.6%,57.1%,80%,28.1%
344,2,85.9%,12.6%,90%,65.6%,"$395,595","$101,579",0%,1,2,32,20.5%,54%,19.4%,100%,0%,100%,93.5%,"$1,805",40.3%,50%,66.7%,25.7%,29%
345,1,96.2%,39.3%,90.8%,36.3%,"$345,757","$81,218",17.6%,0,3,11,12.2%,0%,30.9%,38.6%,0%,58.7%,46.4%,"$1,660",65.8%,31.8%,25%,31.8%,48.1%
346,2,98.1%,39.1%,70.6%,42.2%,"$261,903","$41,922",0%,4,4,19,32%,0%,0%,62.3%,0%,79.5%,60.4%,"$1,052",66%,46.9%,40.6%,26.2%,36.4%
347,2,52.8%,17.5%,88.4%,52.6%,"$535,911","$78,529",10.5%,0,4,12,19%,0%,0%,100%,100%,100%,100%,"$2,169",33.5%,25%,--,20%,11.9%
348,2,95.7%,18.9%,83.3%,85.6%,"$320,266","$83,558",0%,0,7,18,14.1%,0%,26.9%,0%,0%,69.4%,26.9%,"$1,673",97%,50.6%,30.3%,32.2%,49%
349,2,99.5%,5.3%,90%,26.7%,"$1,243,964","$150,115",0%,0,2,2,30.4%,76.3%,0%,49.7%,74.2%,4.7%,54.4%,"$2,128",35.1%,74.1%,60%,63.2%,67.7%
350,1,98.6%,2.8%,89.9%,62%,"$583,469","$126,989",0%,0,2,2,32.7%,0%,4.9%,0%,0%,7.3%,0.3%,"$1,802",38.9%,78.9%,81.8%,74.2%,63.1%
351,2,89.1%,10.3%,91.2%,70.3%,"$641,240",--,9.6%,1,3,6,30.3%,45.5%,38.2%,0%,0%,82.8%,72.3%,"$1,171",77%,75%,78.9%,60%,63.5%
352,1,96.9%,7.8%,91.1%,36.9%,"$495,667","$72,292",0%,0,0,0,19%,16.5%,0%,100%,1.2%,78.5%,--,"$1,719",15.5%,61.4%,58.3%,55.8%,55.6%
353,2,100%,1.4%,97.3%,97.5%,"$617,934","$133,147",0%,0,5,6,33.8%,14.2%,13.2%,13.2%,0%,57.9%,36%,--,83%,81.9%,88.9%,74%,66.8%
354,1,100%,10.2%,77.6%,11%,"$272,875","$62,611",0%,0,2,1,20.8%,50%,3.4%,100%,92.4%,66%,76.9%,"$1,461",10.2%,46.2%,--,46.2%,56.7%
355,2,98.8%,6.4%,87.3%,20.2%,"$435,286","$126,684",0%,0,1,1,25.8%,0%,0%,100%,0%,7.7%,100%,"$1,688",18.5%,59.6%,71.9%,70.4%,50%
356,1,95.2%,3.1%,97.3%,78.1%,"$719,374","$156,853",0%,0,6,1,25%,56.1%,60.9%,39.1%,61.3%,22.2%,37.9%,"$1,850",50.3%,78.9%,84.7%,78.1%,50.6%
357,2,83.5%,7.1%,86.2%,56.8%,"$589,884","$79,565",14.6%,0,5,5,11.5%,41.1%,39.9%,100%,42.2%,98.1%,83.4%,"$1,661",50.9%,66.7%,78.9%,66.7%,31%
358,2,99%,1.7%,82.1%,36.5%,"$669,062","$148,799",0%,0,8,3,17.9%,37.1%,54.7%,15%,94.3%,42.3%,17.3%,"$1,905",22.9%,93.7%,93.5%,78.9%,40.3%
359,1,91%,1%,86.5%,97.4%,"$728,152","$171,429",0%,0,3,3,29.6%,0%,0%,33.4%,0%,24.1%,44.4%,"$2,250",66.3%,84.6%,66.7%,75%,65.5%
360,1,95.6%,25.4%,86.5%,87.5%,"$339,233","$84,947",0%,0,7,22,25.5%,23.8%,0%,42.9%,0%,6.5%,42.9%,"$1,760",80.8%,47.6%,27.8%,30.3%,56%
361,2,94.2%,21.7%,85.2%,23.5%,"$479,053","$69,835",0%,1,10,6,6.9%,9.9%,1.6%,86.9%,41.4%,99.6%,86.9%,"$1,588",23.4%,7.7%,30%,17.6%,23.4%
362,2,100%,47.6%,53.7%,39.8%,"$311,843","$35,215",0%,1,7,9,19.8%,0%,0%,98.4%,0.8%,81.4%,98.4%,"$1,034",49.9%,27.7%,23.1%,24.5%,42.1%
363,2,90.5%,47.8%,54.3%,23.7%,"$327,721","$30,221",33.6%,2,6,28,28.8%,0%,0%,89.6%,0%,99.7%,62.9%,"$1,038",70.9%,19.5%,18.5%,12.1%,24.9%
364,2,97.2%,0.2%,89.3%,95%,"$1,608,122","$201,655",0%,0,2,2,20.3%,54.7%,81.1%,64.1%,79.9%,100%,9%,"$1,880",69%,94.1%,100%,87.5%,37.1%
365,2,100%,22%,90.5%,58.9%,"$349,985","$105,476",0%,1,5,20,22.2%,86.7%,94.7%,28.1%,77.5%,77.9%,28.1%,"$1,438",70.8%,43.3%,72.7%,44%,28.2%
366,2,94.7%,21%,87.1%,35.9%,"$289,827","$56,970",0%,0,2,42,3.1%,1%,74.1%,1.5%,0%,69.7%,68.9%,"$1,098",54.4%,26.9%,--,20%,21.8%
367,2,98%,3%,90.4%,34%,"$626,530","$92,370",0%,0,5,4,10.8%,17.9%,90.1%,64.5%,70.6%,100%,57.6%,"$1,693",25.4%,73.2%,85%,79.6%,20.7%
368,--,99.1%,15.6%,87.5%,63.4%,"$293,106","$87,113",0%,--,1,12,21.5%,78.6%,54.6%,94.8%,63.6%,69.2%,94.8%,"$1,617",69.5%,42.7%,33.3%,51.3%,46.4%
369,2,94.2%,40.2%,57.7%,36.3%,"$353,833","$34,297",14%,0,1,51,24.7%,0%,0%,100%,22.6%,98.3%,100%,$969,35.7%,11.1%,28.6%,7.1%,17.1%
370,2,79.3%,187.4%,64.4%,13.8%,"$376,382","$22,321",43.6%,3,6,48,41.7%,56.7%,80.6%,73.7%,0%,100%,54%,"$1,021",36.6%,19.5%,43.9%,11.9%,35.7%
371,2,95.4%,50.8%,55.8%,44.5%,"$248,600","$44,192",9%,1,12,37,26.2%,11.5%,5.4%,98.7%,4.6%,93.1%,98.7%,"$1,129",61.6%,30.3%,22.6%,15.7%,20.8%
372,2,96.8%,8.5%,89.8%,78.8%,"$399,546","$99,245",0%,0,15,2,19.7%,27.4%,18.1%,44.7%,23.7%,40.3%,50.3%,"$2,064",75%,64.9%,52%,54.5%,39.9%
373,2,100%,2.6%,93.6%,95.2%,"$854,023","$178,809",0%,0,10,4,33.4%,22.2%,0%,87.3%,29%,42%,72.5%,"$1,533",86%,71.4%,78.6%,78.9%,64.6%
374,2,96.7%,46.2%,45.9%,38.1%,"$276,078","$28,943",6.8%,4,5,39,10.9%,51.8%,69.3%,95.8%,76.8%,100%,94.4%,"$1,037",85.3%,20%,24.1%,16%,41%
375,2,96.5%,0.1%,89.8%,92.9%,"$1,212,034","$211,031",0%,0,4,4,26.2%,2.2%,45.2%,33.5%,0%,12%,33.5%,"$1,655",96.1%,81.8%,100%,90.6%,61.4%
376,1,96%,19.8%,76.7%,64.5%,"$332,707","$91,029",4.1%,0,6,8,12.3%,11.2%,24.4%,0%,2.1%,25.7%,21.3%,"$1,873",95.8%,31.8%,34.1%,41.9%,51.2%
377,2,90.9%,17.9%,93.3%,76.7%,"$377,854","$109,102",0%,0,8,8,17%,0%,0%,21.6%,0%,11.5%,14.1%,"$2,542",81.2%,38.1%,45.5%,37%,40.5%
378,2,96.2%,2.6%,88.3%,51.7%,"$741,306","$115,779",0%,0,10,12,12.9%,64.1%,73.8%,92%,50.4%,98%,76.7%,"$1,613",65.3%,75%,93.3%,83.1%,36.3%
379,2,95.6%,1.2%,91.6%,99.8%,"$882,931","$205,830",0%,0,3,1,29.6%,14%,41.9%,48.4%,27.4%,14%,24.3%,"$3,500",95.8%,86.8%,88%,81.9%,57%
380,1,93.9%,1.1%,90.5%,90.7%,"$758,632","$183,793",0%,0,4,4,27.3%,7.2%,7.1%,50%,3.7%,28.4%,46.1%,"$1,917",100%,83.8%,92.4%,85.2%,82.2%
381,2,97.9%,7.2%,92.5%,36%,"$790,906","$94,764",4.7%,0,6,4,15.1%,81.3%,55.7%,96.7%,68.1%,66.5%,88.2%,"$1,825",28.1%,59.3%,57.1%,55.1%,19.2%
382,2,93.4%,24.9%,92.3%,62.4%,"$578,380","$70,935",9.6%,1,8,33,19.1%,0%,0%,99.8%,88%,100%,99.8%,"$1,018",79.5%,17.6%,31.6%,11.5%,21.6%
383,2,91.7%,19.4%,75.9%,56.2%,"$428,127","$77,116",2.1%,0,4,21,33.8%,60.4%,59.5%,75.2%,49.9%,85.2%,75.2%,"$1,110",69.3%,20.6%,31.1%,23.6%,54.8%
385,2,90.4%,49%,64.9%,48.8%,"$208,064","$49,615",0.4%,2,9,14,27.4%,1.4%,23.7%,90.9%,0%,81%,90.9%,"$1,023",69.8%,28.4%,31.1%,15.3%,39.5%
386,2,88.5%,14.8%,82.7%,61.9%,"$650,696","$99,926",7.2%,0,6,16,10.8%,17.9%,20.5%,81.3%,0%,100%,44.9%,"$1,675",47%,45.5%,--,27.3%,29.2%
387,2,87.1%,57%,63%,52.7%,"$268,085","$57,083",1.5%,1,5,27,28.3%,61.5%,39.7%,84.1%,36.2%,99.4%,84.1%,"$1,104",63.4%,25.8%,15.4%,27.7%,29.5%
388,2,98.8%,11.1%,80.2%,30.8%,"$586,132","$88,966",0%,0,6,11,10.4%,20.3%,61.4%,86.5%,65.3%,100%,82.4%,"$1,744",30.2%,59.3%,83.3%,38.1%,23.3%
389,2,97.7%,23.8%,77.1%,40.4%,"$377,636","$64,946",10.3%,1,4,18,22.9%,14.6%,15.7%,90.4%,29.2%,91%,78.4%,"$1,305",57.4%,40.7%,35.8%,34.6%,41%
390,2,93.2%,19.5%,65.5%,49%,"$443,914","$70,899",0.6%,1,0,33,15.8%,0%,100%,83.3%,67.7%,39.6%,100%,$998,41.7%,53.1%,33.3%,53.6%,21.4%
391,2,99%,2.3%,77.7%,94.4%,"$550,215","$149,219",0%,0,4,8,19.2%,0%,0%,5.4%,0%,70.1%,--,"$1,094",98.7%,67.6%,86.7%,65.8%,67.4%
392,2,98.1%,0.7%,91.2%,86.4%,"$1,269,903","$209,276",0%,0,12,3,23.7%,29.7%,33.9%,61.4%,48.2%,88.6%,60.2%,"$1,680",58.8%,94.8%,98.4%,86.1%,38.3%
