NPA,2011,2014,2015,2016,2017,2018,2019,2021,2022,2023,2011 Raw,2014 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2021 Raw,2022 Raw,2023 Raw
237,"0%","0%","0%","18.7%","0%","0%","0%","14.9%","0%","14.6%","0","0","0","192","0","0","0","176","0","175"
238,"32.7%","30.5%","53.9%","53.9%","53.9%","62.2%","55.3%","52.1%","50.3%","29.3%","288","269","475","475","474","546","499","500","499","291"
240,"24.2%","80.9%","81.4%","81.4%","81.4%","65.5%","86%","85.7%","85.5%","85.3%","215","719","723","723","723","580","986","987","995","997"
241,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
242,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
243,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
244,"33.9%","0%","0%","0%","0%","0%","0%","0%","0%","0%","235","0","0","0","0","0","0","0","0","0"
245,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
246,"0%","17.3%","17.3%","17.3%","0%","0%","0%","28%","28%","0%","0","209","209","209","0","0","0","337","337","0"
247,"88.1%","100%","100%","100%","100%","88.1%","100%","100%","100%","100%","400","454","453","453","453","399","458","458","458","458"
248,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
249,"0%","0%","0%","0%","100%","100%","100%","100%","98.3%","98.3%","0","0","0","0","531","531","522","522","513","513"
250,"33.5%","26.4%","26.4%","26.4%","26.4%","4.3%","2.2%","2.2%","4.6%","4.6%","225","178","178","178","178","29","15","15","15","15"
251,"19.8%","11.7%","11.3%","11.2%","11.1%","0%","0%","0%","0%","0%","120","75","75","75","75","0","0","0","0","0"
252,"7%","14.3%","14.6%","14.8%","14.8%","10.2%","15.8%","19.3%","19.3%","19.1%","24","49","50","51","51","35","55","70","70","70"
253,"19.4%","32.9%","32.9%","32.9%","32.9%","18.7%","40.8%","40.9%","40.9%","33.6%","167","285","285","285","285","162","400","400","400","400"
254,"93.6%","89.7%","89.7%","94.2%","94.2%","95.6%","95.3%","66.6%","63.7%","1.7%","309","295","295","537","588","623","711","711","711","31"
255,"65.7%","68.1%","68.1%","68.1%","68.1%","56.8%","39%","38.7%","38.2%","32.6%","810","839","839","839","839","810","557","557","557","489"
256,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
257,"58.6%","71.8%","72.5%","72.5%","45%","46.4%","53.3%","53.4%","53.3%","53.4%","735","1,025","1,058","1,055","737","791","1,096","1,098","1,097","1,098"
258,"23.5%","23.7%","23.5%","24.4%","25.8%","27.7%","28%","28.2%","23.7%","23.7%","237","239","237","252","277","311","314","319","320","321"
259,"0.2%","0.8%","46.3%","46.3%","46.3%","44%","50.6%","50.6%","50.6%","0.6%","2","8","454","454","454","433","549","549","549","7"
260,"8.3%","8.9%","8.8%","8.7%","8.7%","8.1%","7.5%","7.5%","7.5%","7.6%","104","111","110","109","109","102","105","105","105","108"
261,"4.3%","6.9%","6.9%","6.9%","6.9%","4.3%","6.9%","6.9%","1.2%","1.2%","37","59","59","59","59","37","59","59","10","10"
262,"17.9%","14.9%","14.9%","14.8%","14.8%","18.2%","14.8%","14.7%","14.7%","14.8%","220","183","183","183","183","225","183","183","184","184"
263,"22.4%","21.9%","21.7%","21.5%","21.5%","20.4%","21.6%","21.5%","21.4%","21.6%","213","227","228","228","229","219","237","236","234","236"
264,"49.6%","46%","45.1%","44.6%","43.8%","44.1%","43.7%","43.6%","43.6%","43.6%","454","435","435","435","435","439","435","434","434","435"
265,"24%","23.8%","23.8%","23.6%","23.6%","0%","0%","0%","0%","0%","131","130","130","129","129","0","0","0","0","0"
266,"27.6%","31%","30.8%","30.7%","29.3%","25.2%","27.9%","27.9%","28%","26.9%","292","326","325","325","325","288","324","324","324","324"
267,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
268,"15.5%","43.4%","43.4%","43.5%","43.4%","40.1%","43.3%","43%","43.1%","43.1%","108","302","302","302","302","279","302","302","303","303"
269,"92.4%","88.5%","88.6%","88.7%","86.9%","88.4%","86.4%","86.4%","85.6%","86.4%","1,109","1,061","1,068","1,069","1,051","1,080","1,071","1,071","1,060","1,081"
270,"0%","100%","100%","100%","0%","0%","0%","100%","100%","0%","0","598","598","598","0","0","0","598","598","0"
271,"0%","0%","0%","0%","20.6%","7.6%","20.9%","20.9%","20.9%","21.1%","0","0","0","0","92","34","93","93","93","94"
272,"0%","41%","41%","41%","0%","0%","0%","41%","41%","6.9%","0","320","320","320","0","0","0","320","320","58"
273,"0.6%","0.6%","0.6%","0.6%","0.6%","0.5%","0.3%","0.3%","0.3%","2.7%","4","4","4","4","4","4","3","3","3","26"
274,"100%","48%","48%","48%","48%","100%","48%","0%","0%","48%","554","266","266","266","266","554","266","0","0","266"
275,"14.6%","42.2%","42.2%","42.2%","42.2%","16%","42.4%","41.8%","41.8%","42%","131","378","378","378","378","143","379","374","374","379"
276,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
277,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
278,"100%","44%","44%","44%","44%","100%","44.4%","49.3%","51.9%","51.9%","841","375","375","375","375","852","386","474","526","526"
