NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
154,"65.8%","65.6%","65.6%","77.8%","77.4%","63.9%","63.9%","752","750","750","890","890","767","767"
155,"89.8%","89.6%","89.6%","41.5%","69.7%","73.9%","--","867","886","897","581","984","1,049","0"
156,"93.1%","93.5%","65.3%","61.3%","62.5%","66.3%","65.1%","1,025","1,089","788","772","885","1,013","1,030"
157,"100%","100%","100%","100%","63.5%","100%","76.6%","459","391","288","282","356","709","671"
158,"97.2%","97.3%","86.4%","86.6%","73.2%","78.2%","78.2%","1,231","1,252","1,113","1,135","964","1,046","1,048"
159,"100%","100%","100%","91.2%","93.1%","94.3%","82.6%","374","381","389","382","394","493","443"
160,"82.4%","82.4%","85.6%","79%","79.7%","80%","75.3%","912","911","948","874","913","923","877"
161,"20.5%","20.6%","20.9%","21.4%","21.1%","21.1%","19.8%","233","233","237","243","248","249","233"
162,"100%","100%","100%","100%","100%","100%","100%","701","700","696","696","694","751","749"
163,"99.8%","99.8%","99.8%","99.8%","99.9%","99.9%","99.9%","538","539","543","521","879","911","937"
164,"97.4%","97.4%","97.3%","97.3%","97.1%","97.1%","79.7%","1,776","1,768","1,697","1,716","1,770","1,777","1,308"
165,"100%","100%","100%","100%","100%","100%","100%","914","911","911","909","909","909","1,072"
166,"100%","100%","100%","100%","100%","100%","100%","538","538","538","538","537","587","588"
167,"100%","100%","100%","100%","100%","100%","100%","361","361","361","360","360","440","449"
168,"100%","100%","100%","100%","100%","100%","99.7%","633","633","633","633","633","633","634"
169,"77%","77.5%","78.9%","82.1%","86.1%","86.1%","86.1%","588","605","624","770","1,039","1,038","1,042"
170,"98.6%","98.6%","100%","95.2%","95.3%","95.3%","54.6%","621","621","632","601","610","610","350"
171,"30.5%","30.3%","100%","92.5%","92.6%","92.6%","92.6%","123","122","398","469","477","477","477"
172,"13.3%","13%","12.4%","11%","26.5%","74.7%","78.1%","141","144","141","125","468","1,382","1,669"
173,"98.4%","98.2%","97.5%","100%","98.1%","100%","100%","373","384","393","424","414","420","433"
174,"34.5%","34.4%","34.4%","34.3%","23%","67.2%","11.2%","218","216","216","215","138","797","160"
175,"0%","0%","0.7%","0%","0%","0%","--","0","0","5","0","0","0","0"
176,"76.2%","76.2%","78.4%","38.6%","38.7%","38.7%","38.7%","885","885","911","449","450","450","450"
177,"0.7%","0.6%","0.6%","0.6%","0.5%","0.5%","0.5%","5","5","5","5","5","5","5"
178,"65.7%","65.7%","57.3%","51.5%","35.6%","27.6%","25.4%","675","675","675","675","696","707","765"
179,"36.2%","36.6%","66.9%","56.2%","84.8%","84.9%","70.6%","241","244","446","369","672","676","563"
180,"100%","100%","100%","100%","100%","100%","100%","465","483","504","531","538","540","540"
181,"22.2%","23.3%","64.5%","25.3%","64.7%","65%","64.7%","271","288","814","321","820","824","820"
182,"100%","100%","100%","100%","13.8%","100%","2.6%","268","268","268","268","37","268","7"
183,"99.7%","99.7%","100%","99.4%","100%","99.7%","99.7%","347","351","351","349","346","348","348"
184,"97.5%","96.8%","97.5%","97.5%","97.3%","97.4%","97.4%","845","668","674","667","656","676","683"
185,"100%","100%","50.8%","100%","100%","100%","100%","1,368","1,368","694","1,369","1,367","1,367","1,367"
186,"97.9%","98.1%","100%","100%","97.1%","97.1%","97.1%","807","809","827","831","809","811","812"
187,"100%","100%","100%","100%","100%","100%","100%","405","405","405","405","405","404","404"
188,"96.3%","94.1%","93.8%","93.8%","97.6%","97.7%","98.2%","684","683","684","684","804","832","1,116"
189,"0%","0%","0%","3.5%","0%","3.5%","--","0","0","0","16","0","16","0"
190,"65.1%","64.7%","64.7%","0%","0%","0%","--","250","247","247","0","0","0","0"
191,"7.1%","7.1%","60.8%","0%","0%","6.5%","6.5%","67","67","575","0","0","62","62"
192,"91.3%","90.5%","84%","84%","84.9%","87%","87.3%","775","823","800","932","1,069","1,245","1,330"
193,"78.9%","78.7%","97%","86.7%","98.5%","96.6%","96.3%","450","448","550","491","709","717","780"
194,"0%","0%","43.4%","0.1%","49.1%","0.1%","0.1%","0","0","436","1","552","1","1"
195,"14.4%","13.9%","14%","9.4%","67.6%","66.9%","1.2%","123","118","119","113","1,316","1,644","29"
196,"80.8%","80.7%","86.8%","92.1%","93.4%","97.6%","95%","582","581","630","687","776","895","946"
197,"100%","100%","100%","100%","100%","100%","100%","992","993","993","993","992","998","1,004"
198,"17%","23.7%","23.3%","23.7%","41.9%","41.5%","42.9%","118","191","190","194","216","216","225"
199,"98.8%","98.8%","98.8%","98.8%","98.9%","98.9%","99%","1,233","1,239","1,281","1,281","1,310","1,313","1,320"
200,"100%","100%","100%","100%","100%","100%","100%","235","235","240","425","575","730","703"
201,"48.7%","48.7%","61.4%","48.4%","62.3%","62.6%","62.8%","561","562","710","562","744","747","751"
202,"100%","100%","100%","100%","100%","100%","100%","713","714","714","713","709","712","714"
203,"0%","0%","0.2%","0.1%","1.4%","1.4%","1.4%","0","0","1","1","12","12","12"
204,"46.2%","46.3%","41.9%","6.2%","14.8%","7.9%","7.9%","285","286","259","40","100","53","53"
205,"0%","0%","7.7%","0%","27.7%","0%","--","0","0","24","0","96","0","0"
206,"0%","0%","29.7%","0%","39.8%","0%","--","0","0","168","0","225","0","0"
207,"99.1%","99.1%","83.6%","86%","84.1%","83%","82.9%","979","1,035","1,266","1,571","1,587","1,587","1,585"
208,"11.6%","11.4%","35.6%","11.9%","36.3%","11.8%","12%","83","82","262","87","255","82","84"
209,"79.7%","80.2%","85%","66.8%","70.3%","83.3%","84%","835","859","978","990","1,227","1,453","1,540"
