NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
207,"0","0","1","0","0","2","2","1","3","19","2","4","32","34"
208,"3","2","2","1","5","6","7","23","16","15","5","36","39","49"
209,"6","2","7","3","2","5","5","65","24","80","41","34","91","92"
210,"0","0","1","0","1","0","0","2","6","15","3","8","4","6"
211,"12","7","14","7","7","15","17","99","59","121","60","59","135","152"
212,"23","22","37","40","23","31","14","117","109","186","202","115","151","89"
213,"4","3","4","4","16","8","2","23","19","25","24","72","49","17"
215,"4","5","2","2","4","4","3","12","15","7","5","13","13","9"
216,"2","3","5","1","4","3","4","8","10","17","4","15","10","14"
217,"3","2","2","3","5","1","4","15","8","8","14","25","7","19"
218,"5","2","4","3","4","5","3","61","23","52","28","43","55","34"
219,"4","3","6","10","4","9","11","32","23","47","99","39","131","158"
220,"19","15","15","12","7","18","11","127","100","98","82","45","117","72"
221,"9","2","5","4","7","4","3","90","19","51","51","83","48","34"
222,"3","1","3","1","3","1","1","21","7","18","9","18","9","6"
223,"72","32","25","25","20","41","29","489","217","171","169","131","271","192"
224,"3","1","1","1","1","2","2","28","8","8","13","11","17","24"
225,"0","0","0","0","0","--","0","2","0","1","0","0","0","0"
226,"10","2","2","5","4","5","4","50","10","11","25","20","23","20"
227,"17","4","14","6","27","48","42","140","37","116","50","229","408","356"
228,"0","0","1","0","0","2","1","0","0","1","0","0","18","8"
229,"1","12","13","7","18","23","23","5","83","101","60","207","452","443"
230,"13","16","25","29","7","10","7","126","196","303","353","107","122","83"
231,"6","1","1","1","3","4","1","42","9","6","15","35","76","29"
232,"18","7","21","23","5","9","7","166","69","201","218","67","148","120"
233,"2","1","2","1","1","2","1","24","14","22","6","15","26","20"
234,"24","13","10","11","16","6","9","222","123","91","104","154","142","228"
235,"7","2","4","3","7","5","11","62","21","40","23","62","46","101"
236,"0","0","1","0","0","3","0","2","2","3","1","0","14","2"
237,"14","13","17","17","13","16","20","137","132","166","173","155","195","243"
