NPA,2011,2013,2015,2016,2017,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
395,"28.7%","30.4%","89.3%","89.3%","89.3%","88.8%","88.5%","92.9%","94.2%","88.5%","187","202","593","591","594","830","815","1,182","1,199","812"
396,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
397,"99.5%","99.6%","90.1%","90.5%","90.6%","98.8%","99.8%","99.8%","90.1%","98.8%","917","917","979","1,021","1,021","1,114","1,107","1,107","999","1,116"
398,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
399,"82%","82%","51.4%","50.4%","49%","45.6%","41.3%","41.3%","32.1%","47.6%","845","845","533","533","532","499","342","342","266","521"
400,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
401,"8.8%","8.8%","28.3%","28.3%","28.2%","27.6%","27.3%","27.5%","22.5%","27.5%","72","72","233","233","232","227","224","226","231","225"
402,"1.9%","2.1%","2.1%","2.1%","2.1%","1.6%","1.3%","1.3%","2.6%","1.4%","11","12","12","12","12","9","8","8","18","8"
403,"1.7%","13.7%","14.6%","14.7%","14.7%","19.4%","31.5%","28.2%","32.7%","12.3%","10","89","99","101","103","144","275","260","302","88"
404,"64.5%","64.8%","64.8%","64.6%","47.3%","61.3%","58.9%","58.9%","63.4%","61.4%","548","551","550","551","403","522","490","494","531","508"
405,"0.5%","0.5%","0.5%","0.7%","0.7%","0.5%","0.5%","0.5%","0.8%","0.4%","7","7","7","10","10","7","7","7","11","6"
406,"14.9%","15.9%","15.1%","14.8%","13.9%","43.5%","40.6%","17.1%","44.1%","9%","117","130","128","128","128","464","408","172","444","83"
407,"15%","24%","23.7%","23.7%","24.2%","22.3%","35.2%","35.1%","27.4%","20.7%","105","168","168","170","176","165","259","258","215","143"
408,"0%","39.9%","40.2%","40.3%","40.4%","48.1%","52.4%","45.9%","52.6%","38.6%","0","425","431","431","435","520","594","524","603","425"
409,"29.3%","29.1%","29.5%","29.8%","29.8%","27.9%","33.4%","33.5%","31.2%","28.9%","297","301","308","311","314","298","361","364","337","297"
410,"0%","0%","0%","0%","0%","0.1%","0.1%","0.1%","0%","0%","0","0","0","0","0","1","1","1","0","0"
411,"0%","0%","0%","0%","0%","0%","0%","0%","0.2%","0%","0","0","0","0","0","0","0","0","1","0"
