NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023
97,"11.1%","9.6%","8%","8.2%","6.5%","5.9%","5.5%","8.1%","10.4%","13.4%","12.2%"
98,"19%","15.9%","18.4%","18.3%","19.4%","14.5%","12.7%","18.6%","20.6%","26.1%","25.1%"
99,"15.4%","16.4%","18.5%","19.2%","15.3%","14.3%","7.8%","10.8%","11.3%","13.1%","10.1%"
100,"33.9%","38.7%","42.7%","44.8%","34.3%","31.2%","23.3%","30.2%","32.4%","35%","31.5%"
101,"34.8%","31.1%","33.6%","34.5%","29.5%","28.2%","21.7%","27.5%","31.7%","39.4%","34.9%"
102,"34.7%","31.5%","29.2%","29.5%","27.4%","24.5%","19.2%","24.9%","28.6%","35.2%","35.9%"
103,"35.1%","31.8%","36.2%","37.2%","28.8%","30.1%","17.6%","18.6%","23.7%","30.9%","29.4%"
105,"18.7%","16.5%","12.9%","10.8%","8.9%","7.9%","7.2%","7.3%","8.3%","9%","7.6%"
106,"32.2%","26%","26.7%","27.3%","24.3%","23.1%","15.5%","20.8%","24.8%","35.7%","31.1%"
107,"24.4%","19.8%","16.2%","27.1%","17%","23.2%","11.5%","17%","22.3%","27.5%","24.6%"
108,"12.9%","11.4%","12.1%","12.4%","16.1%","15.5%","10.7%","14.6%","15.1%","20.2%","19.1%"
109,"13.5%","9.8%","11.3%","11.6%","6.7%","6.6%","9.8%","14.6%","17.1%","22.1%","20.9%"
110,"13.5%","8.6%","6.3%","6.4%","6.5%","3.9%","6.5%","12%","15.5%","21.4%","29.8%"
111,"9.4%","11%","11.6%","13%","11.3%","8.6%","7%","10.6%","13.4%","18.6%","17.4%"
112,"19.2%","15.1%","20.9%","21%","14.4%","15.3%","9.9%","14.4%","18.6%","23.4%","20.4%"
113,"20.6%","19.6%","23.6%","24.1%","22.1%","19.6%","16.3%","21%","24.3%","31.2%","28.8%"
114,"38.7%","35.5%","45.3%","46.6%","42.3%","36.6%","38.4%","46.5%","50.5%","57.3%","56.1%"
115,"1.4%","2.3%","1.7%","1.7%","1.5%","1.8%","2.1%","2.8%","3%","4.1%","3.8%"
116,"32.8%","28%","25.8%","25.9%","19.4%","15.7%","15.4%","18%","21.9%","29.3%","28.5%"
117,"24%","20.4%","23.3%","23.8%","21.6%","20.1%","16.3%","21.6%","25.2%","32.9%","28.4%"
118,"1.4%","1.7%","2.2%","2.2%","1.6%","2.1%","0.9%","1.4%","2.4%","3.2%","2.7%"
119,"18.8%","19.6%","18.2%","19.1%","18.4%","15.5%","15.4%","20.5%","21.8%","29.7%","26.6%"
120,"52.9%","55.6%","65.8%","71.7%","64.6%","56.6%","42.6%","51.8%","56.5%","63.2%","59.6%"
121,"32.4%","31.8%","35.3%","37%","29.7%","28.8%","19.7%","24%","28.3%","34.7%","33.4%"
122,"--","--","--","--","--","--","--","--","--","--","--"
123,"34.3%","33.4%","38.2%","40.1%","36.2%","32.4%","26.5%","31.4%","35.7%","40.5%","39.8%"
124,"40.5%","36.4%","44.3%","47.4%","35.8%","32.5%","32.6%","42.3%","48.4%","68.6%","65.4%"
125,"27.4%","30.4%","36.8%","38.5%","26.8%","24.2%","20.9%","27.2%","30.9%","41.4%","39.3%"
126,"--","57.5%","42.9%","38%","--","41.3%","28.6%","32.5%","35.4%","41.6%","42.3%"
127,"28.2%","32.5%","31.2%","31.8%","25.9%","16.3%","21.3%","26.4%","31.6%","36%","31.4%"
128,"39.2%","35%","41.8%","43.5%","35.2%","26%","26.2%","31.9%","34.9%","37.7%","33.7%"
129,"1.2%","1.5%","1.4%","1.4%","1.7%","1.5%","1.7%","1.9%","2.1%","2.5%","2%"
130,"2.4%","1.3%","1.2%","1.2%","0.9%","1%","0.8%","1.7%","2.4%","2.2%","2.7%"
131,"11.4%","9.7%","12.1%","12.5%","9%","10.4%","8.1%","11.2%","14%","16.5%","16.2%"
132,"14%","9.1%","9.1%","9.1%","7.3%","7.9%","4.2%","5.1%","5.9%","6.6%","5%"
133,"2.7%","1.7%","1.2%","1.2%","0.4%","0.7%","0.7%","1.7%","2.4%","3.6%","2.6%"
134,"29.6%","14.9%","19.8%","20.3%","20.3%","15.6%","16.5%","24.9%","27%","31.1%","30.9%"
135,"40.7%","40.1%","36.3%","38.7%","36.7%","33.2%","26.4%","32%","36.9%","47.7%","44%"
136,"7%","5.5%","5.7%","5.6%","6%","6%","4.1%","6.2%","6.3%","11.9%","12.7%"
137,"32.1%","34.9%","40.4%","41.4%","38%","32.5%","20.5%","25.1%","29.6%","34%","30.5%"
138,"33.5%","32.6%","42.5%","44%","41%","39%","27.2%","32.5%","35.4%","40.1%","41.2%"
139,"28.1%","27%","30%","32.2%","22.8%","20.7%","20.3%","27.2%","33.1%","40.1%","36.2%"
140,"21.1%","20.6%","27.1%","28.3%","22.4%","18.1%","17.1%","21.6%","25.5%","34.4%","28.8%"
141,"47.8%","40.2%","51%","53.4%","39.8%","34.6%","37.8%","42.6%","44.7%","47.2%","45.6%"
142,"26.8%","22%","24.7%","25.3%","20.3%","18.4%","16.1%","20.6%","24.9%","28.4%","25.8%"
143,"0.7%","0.9%","1.2%","1.2%","1.4%","0.7%","0.4%","0.9%","0.9%","1.1%","0.8%"
144,"33.2%","33.7%","33.3%","33.6%","28.1%","29.1%","19.6%","24.5%","29.5%","38.1%","41.3%"
145,"28.2%","29.9%","31.7%","33.6%","27.1%","24.3%","16.7%","21.5%","22.7%","28.4%","26.5%"
146,"15.2%","17%","21.7%","22.3%","17.3%","15.1%","12.6%","16.4%","18%","23.5%","22.4%"
147,"19.7%","22.3%","27%","27.6%","25.8%","22.2%","17.9%","21.3%","25.2%","30.8%","27.2%"
148,"1.4%","1.5%","2.3%","2.3%","1.4%","1.1%","0.7%","1.1%","1.6%","1.8%","1.7%"
149,"2.3%","2%","3.9%","3.8%","3%","4.1%","3.4%","4.3%","4.7%","5.4%","4.7%"
150,"22.8%","22.4%","26.4%","27.6%","20.6%","17.9%","13%","17%","21.2%","28%","29.6%"
151,"2.4%","2.2%","2.4%","2.5%","2.1%","2.2%","2.2%","2.8%","3.4%","4.1%","4.2%"
152,"14.4%","13.1%","13.7%","14.4%","13.3%","10.7%","10.3%","13.1%","16.7%","21.4%","19.3%"
153,"7.2%","7%","8.3%","8.6%","7.6%","7.3%","6.2%","7.2%","9%","14.3%","15.6%"
154,"7.3%","7%","5.3%","5.4%","6.9%","5.6%","5.4%","7.9%","9.4%","14.1%","11.1%"
