NPA,2011,2013,2015,2016,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
127,"0","1","1","1","1","4","3","1","2","2","5","6","8","13","40","35","14","27"
128,"3","3","3","4","0","1","0","1","2","30","30","32","46","5","8","2","13","17"
129,"0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","2","1","1"
130,"0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","0","1","0"
131,"0","0","0","0","0","0","0","0","0","0","3","3","2","1","0","1","0","0"
132,"0","1","0","1","0","0","1","0","0","0","3","1","2","0","1","2","1","1"
133,"0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0"
134,"0","1","0","0","0","0","0","0","0","1","3","2","0","0","0","0","0","1"
135,"1","2","1","2","3","1","2","1","3","5","10","3","12","14","4","12","7","20"
136,"0","0","0","0","0","0","0","0","0","1","3","1","1","2","0","0","2","2"
137,"0","1","1","1","1","0","0","0","1","2","4","4","3","3","0","2","1","4"
138,"1","4","6","3","0","1","1","0","1","2","9","14","7","0","3","2","1","3"
139,"0","1","1","1","0","0","1","0","1","2","5","5","9","2","2","4","1","3"
140,"1","1","1","1","1","0","0","0","0","7","11","14","13","6","5","4","4","5"
141,"3","5","2","2","1","2","2","2","2","10","17","6","8","4","5","5","6","8"
142,"1","1","2","1","0","0","1","1","1","7","14","24","9","5","6","10","10","12"
143,"0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1"
144,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
145,"--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0"
146,"0","1","0","0","0","0","0","0","0","1","4","0","3","2","0","2","0","0"
147,"2","1","2","1","0","1","1","1","2","18","7","21","7","1","16","14","14","19"
148,"0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","2","2","2"
149,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
150,"0","1","1","1","1","0","0","0","1","0","4","7","10","7","2","2","4","5"
151,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0"
152,"0","1","2","2","0","0","0","1","1","1","4","7","6","1","1","0","2","2"
153,"0","0","0","0","0","0","0","0","0","0","2","1","3","2","1","0","1","2"
154,"0","0","0","0","0","0","0","0","0","0","4","5","3","1","1","0","1","1"
155,"0","1","0","0","0","0","0","0","0","3","5","4","4","3","1","2","1","3"
156,"0","1","1","1","0","0","0","0","0","5","6","9","9","4","0","3","1","2"
157,"3","6","7","5","2","1","1","0","0","12","25","19","15","6","4","3","2","4"
158,"0","1","1","1","0","1","0","0","0","6","9","14","14","6","8","2","5","6"
159,"3","4","5","5","2","2","1","1","1","13","14","20","19","10","8","3","4","6"
160,"1","1","3","3","1","2","1","1","1","7","16","28","28","7","20","15","11","17"
161,"0","1","1","2","1","1","2","2","2","5","14","13","24","16","13","18","18","22"
162,"0","1","1","1","0","1","1","1","1","3","10","8","5","2","4","4","4","5"
163,"2","1","1","0","0","0","0","0","0","11","6","3","1","0","1","4","0","1"
164,"4","7","10","5","1","1","2","1","1","79","135","179","93","21","25","29","16","22"
165,"3","3","2","1","1","1","0","0","1","23","30","18","13","10","11","3","3","8"
166,"1","1","1","0","1","3","1","1","1","5","6","4","2","4","15","5","3","7"
167,"0","1","1","0","1","0","1","1","1","1","2","4","1","4","1","3","4","6"
168,"1","2","2","2","0","0","1","0","1","6","15","10","10","2","2","6","2","7"
169,"0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","0","0","0"
170,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
171,"0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
172,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1"
173,"0","3","2","2","0","0","1","0","0","1","11","9","10","2","2","4","1","1"
174,"0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","1","1"
175,"0","0","1","1","0","0","0","0","0","0","1","4","4","2","0","1","0","0"
176,"0","0","0","0","0","0","0","0","0","0","1","3","3","0","0","0","2","3"
177,"0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0"
178,"0","0","0","0","0","0","0","0","0","0","0","2","4","1","1","1","5","5"
179,"0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0"
180,"1","2","2","2","0","1","2","0","0","4","8","11","11","2","6","9","2","2"
181,"0","0","0","0","0","0","0","0","0","6","1","3","2","0","0","3","0","0"
182,"3","3","2","3","0","0","0","0","1","7","8","6","8","1","1","0","0","2"
183,"1","1","1","2","0","1","1","0","0","3","5","5","7","1","2","5","0","0"
184,"3","0","0","0","0","0","0","0","0","24","2","3","1","2","2","0","1","1"
