NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
162,"100%","100%","100%","100%","100%","100%","100%","701","700","696","696","694","751","749"
163,"99.8%","99.8%","99.8%","99.8%","99.9%","99.9%","99.9%","538","539","543","521","879","911","937"
164,"99.5%","94.1%","93.9%","89.9%","89.4%","89.3%","79.7%","1,814","1,708","1,637","1,585","1,629","1,635","1,308"
165,"100%","100%","100%","100%","100%","100%","100%","914","911","911","909","909","909","1,072"
166,"100%","100%","100%","100%","100%","100%","100%","538","538","538","538","537","587","588"
167,"100%","100%","100%","100%","100%","100%","100%","361","361","361","360","360","440","449"
168,"100%","100%","100%","100%","100%","100%","99.7%","633","633","633","633","633","633","634"
169,"67.8%","63.3%","76.6%","79.5%","84.2%","84.2%","84.2%","518","494","606","746","1,016","1,015","1,019"
170,"64.8%","57.1%","97.2%","57.7%","68.1%","70.2%","51.6%","408","360","614","364","436","449","331"
171,"98.8%","98.5%","100%","92.5%","92.6%","92.6%","92.6%","398","397","398","469","477","477","477"
172,"1.5%","2.3%","1.4%","0%","19.4%","18.5%","29.5%","16","25","16","0","343","343","630"
173,"99.7%","98.2%","97.5%","100%","98.1%","100%","100%","378","384","393","424","414","420","433"
174,"25%","24.8%","24.9%","24.8%","13.9%","62.6%","5.7%","158","156","156","155","83","742","82"
175,"0.1%","0.1%","0.7%","0.7%","0%","0.7%","0%","1","1","5","5","0","5","0"
176,"94.1%","98%","93%","32.4%","32.4%","32.4%","32.4%","1,094","1,139","1,081","376","377","377","377"
177,"0.7%","0.6%","0.6%","0.6%","0.5%","0.5%","0.5%","5","5","5","5","5","5","5"
178,"65.7%","65.7%","57.3%","51.5%","35.6%","27.6%","25.4%","675","675","675","675","696","707","765"
179,"74.8%","49.7%","49.9%","64.8%","70.3%","70.5%","70.6%","498","331","333","426","557","561","563"
180,"100%","100%","100%","100%","100%","100%","100%","465","483","504","531","538","540","540"
181,"63.2%","56.5%","64.5%","64.7%","64.7%","65%","64.7%","770","698","814","822","820","824","820"
182,"100%","100%","100%","100%","100%","100%","100%","268","268","268","268","268","268","270"
183,"100%","100%","100%","99.4%","100%","100%","100%","348","352","351","349","346","349","349"
184,"98%","83%","83.1%","83.2%","82.8%","81.7%","80.6%","850","573","574","569","558","567","565"
185,"100%","100%","100%","100%","100%","100%","100%","1,368","1,368","1,366","1,369","1,367","1,367","1,367"
186,"100%","99.9%","99.9%","99.9%","97%","97%","97%","824","824","826","830","808","810","811"
187,"99%","100%","100%","100%","100%","100%","100%","401","405","405","405","405","404","404"
188,"94.9%","92.7%","92.3%","92.3%","97.6%","97.7%","98.2%","674","673","673","673","804","832","1,116"
189,"0%","0%","0%","3.5%","0%","3.5%","0%","0","0","0","16","0","16","0"
190,"65.1%","64.7%","64.7%","0%","0%","0%","0%","250","247","247","0","0","0","0"
191,"7.1%","7.1%","60.8%","0%","0%","6.5%","6.5%","67","67","575","0","0","62","62"
192,"97.8%","90.5%","84%","83.9%","84.8%","83.9%","82.9%","830","823","800","931","1,068","1,201","1,264"
193,"98.1%","96.7%","97%","97.3%","98.5%","97.4%","97%","559","550","550","551","709","723","786"
194,"46.9%","43.3%","43.3%","44.2%","49%","49.7%","49.8%","469","436","435","460","551","569","571"
195,"6.2%","5.7%","5.7%","2.4%","67.6%","63%","1.2%","53","48","48","29","1,316","1,549","29"
196,"83.8%","80.6%","86.8%","92%","93.3%","97.6%","95%","603","580","630","686","775","895","946"
197,"100%","100%","100%","100%","100%","100%","100%","992","993","993","993","992","998","1,004"
198,"7.5%","15.8%","15.6%","15.5%","28.9%","32.4%","28.4%","52","127","127","127","149","169","149"
199,"98.8%","98.7%","98.8%","98.8%","98.9%","98.9%","99%","1,233","1,238","1,281","1,280","1,310","1,313","1,320"
200,"100%","100%","100%","100%","55.5%","100%","100%","235","235","240","425","319","730","703"
201,"57.9%","58.5%","54.2%","35%","36.7%","37%","55.9%","667","676","627","406","438","441","668"
202,"100%","100%","100%","100%","100%","100%","100%","713","714","714","713","709","712","714"
203,"0%","0%","0.2%","0.1%","1.4%","1.4%","1.4%","0","0","1","1","12","12","12"
204,"53.8%","53.9%","49.5%","12.8%","12.2%","12.2%","12.2%","332","333","306","82","82","82","82"
205,"40.3%","38.6%","38.7%","38.7%","27.7%","21.4%","27%","124","119","120","123","96","80","109"
206,"99.3%","39.8%","39.8%","39.8%","39.8%","29.7%","39.8%","562","225","225","225","225","168","225"
207,"99.1%","99.1%","83.6%","86%","84.1%","83%","82.9%","979","1,035","1,266","1,571","1,587","1,587","1,585"
208,"56.5%","35%","35.6%","35.7%","36.3%","36.6%","36.5%","405","252","262","261","255","254","256"
209,"79.7%","80.2%","84.9%","66.8%","70.3%","83.3%","84%","835","859","977","990","1,227","1,453","1,540"
210,"71.5%","0%","7.7%","6.4%","6.3%","6.3%","6.1%","906","0","97","97","97","97","96"
211,"38.7%","38.6%","39.4%","40.7%","40.5%","78.1%","77.2%","330","331","340","358","358","693","686"
212,"99.6%","99.6%","99.6%","99.6%","100%","100%","100%","497","497","497","497","494","494","632"
213,"99.4%","55.5%","97.3%","97.1%","96.4%","76.3%","63.1%","622","348","612","572","449","455","454"
215,"83.1%","0%","0%","0%","0%","0%","0%","270","0","0","0","0","0","0"
216,"98.1%","98.3%","98.3%","95.4%","95.4%","98.1%","96.1%","354","356","353","354","352","370","367"
217,"49.7%","20%","20%","0%","0%","17.1%","0%","248","100","101","0","0","86","0"
218,"87.9%","81.6%","81.6%","76.9%","77.1%","77.1%","80.3%","1,077","1,000","1,000","825","826","827","996"
219,"4.1%","4%","3.9%","3.1%","3.2%","10.8%","10.8%","31","31","31","31","32","157","157"
220,"98.8%","94.7%","99.1%","94.5%","82.3%","99.1%","82.5%","654","627","654","623","541","651","541"
221,"99.2%","100%","100%","99.2%","99.2%","99.1%","80.4%","991","998","1,024","1,170","1,171","1,172","958"
222,"6.5%","6.2%","6.3%","6.2%","6%","15.2%","5.6%","44","42","42","42","43","110","41"
223,"100%","100%","100%","100%","100%","100%","100%","678","675","675","657","659","658","655"
224,"99.1%","99.1%","99.1%","47.9%","47.8%","47.8%","99.1%","1,062","1,062","1,062","513","511","511","1,060"
225,"75.1%","0%","0%","88%","0%","90.7%","0.9%","405","0","0","486","0","487","5"
226,"86.4%","40.1%","29.2%","29.4%","29.2%","29.2%","29.3%","412","191","139","140","139","139","139"
227,"100%","100%","100%","100%","100%","100%","99.9%","837","838","840","840","841","844","844"
228,"0.6%","12.3%","12.2%","5.5%","0%","5.7%","80.2%","1","22","22","10","0","50","838"
229,"67.6%","62.2%","66.1%","51.4%","42.6%","33.2%","33%","406","437","509","490","544","639","641"
230,"98%","98.3%","98.5%","98.4%","98.6%","98.3%","98.3%","960","1,213","1,216","1,212","1,432","1,145","1,146"
231,"10.7%","16.7%","21.1%","12%","34.7%","30.9%","29.4%","77","122","231","135","389","571","589"
232,"67.1%","67.6%","81.2%","71%","60.4%","48.2%","48.8%","625","632","763","704","832","832","843"
233,"100%","100%","75%","74.9%","82.9%","82.9%","82.9%","1,127","1,127","844","842","1,366","1,367","1,367"
234,"59.4%","60.3%","60%","59%","46%","40.7%","47.1%","539","557","552","542","606","943","1,226"
235,"95.8%","80.7%","80.7%","34%","46.5%","56.4%","46.6%","866","730","731","309","434","526","434"
236,"73.3%","0%","0%","0%","0%","0%","0%","324","0","0","0","0","0","0"
237,"83.7%","81.8%","74.2%","91.1%","51.9%","77.1%","91.8%","792","803","738","969","597","921","1,097"
238,"75.3%","90.2%","91.8%","81.1%","92.1%","86.4%","86.4%","663","795","810","714","832","857","858"
240,"88.1%","88.1%","88%","88.1%","90.9%","91.1%","84.7%","782","783","781","782","1,043","1,060","990"
241,"26.2%","0%","0%","0%","0%","0%","0%","193","0","0","0","0","0","0"
242,"100%","100%","100%","7.1%","0%","70.8%","0%","491","492","497","36","0","358","0"
243,"31.9%","30.4%","30.4%","91.3%","28.1%","34.2%","29%","15","14","14","42","148","312","281"
244,"99.7%","99.6%","71.4%","73.9%","47.7%","74.1%","47.9%","691","690","495","513","330","519","335"
245,"100%","62.1%","62.1%","51.7%","99.5%","99.5%","98.7%","646","401","401","334","641","637","834"
246,"100%","99.7%","99.7%","78.4%","79.3%","79.3%","69.1%","1,206","1,202","1,202","945","953","953","830"
247,"100%","100%","100%","100%","100%","100%","100%","454","454","453","453","458","458","458"
248,"100%","4.5%","5%","4.5%","55.5%","55.5%","55.5%","836","38","42","38","352","352","352"
249,"100%","100%","100%","100%","100%","100%","100%","531","531","531","531","522","522","522"
250,"44.2%","43.9%","48.7%","43.9%","44.1%","90.2%","90.3%","297","296","328","296","297","296","297"
251,"96.9%","97.2%","97.1%","97%","97.2%","97.2%","97.2%","586","625","647","654","687","687","687"
252,"20.1%","20.2%","20.4%","4.9%","21.3%","24.5%","24.3%","69","69","70","17","74","89","89"
253,"1.6%","1.6%","3.1%","3.1%","2.8%","2.8%","2.3%","14","14","27","27","27","27","27"
254,"99.7%","95.4%","92.1%","48.7%","3.1%","35.3%","44.4%","329","314","303","304","23","394","809"
255,"47.6%","18.3%","20.5%","39.9%","30.9%","48%","30.3%","586","225","252","491","441","701","454"
256,"8.1%","6.2%","6.4%","8.1%","13.4%","11.4%","10.7%","82","66","72","111","431","457","472"
257,"46.2%","41.9%","51.4%","57%","96.4%","96.5%","96.5%","580","598","751","933","1,983","1,984","1,985"
258,"93.1%","93.2%","93.1%","93.3%","96.3%","80.6%","78.4%","940","940","939","1,002","1,081","1,089","1,060"
259,"99.8%","99.8%","99.8%","99.8%","95.4%","95.4%","99.3%","979","981","979","979","1,034","1,036","1,084"
260,"98.7%","98.8%","98.8%","98.8%","95.9%","95.7%","68.9%","1,235","1,235","1,236","1,239","1,339","1,344","973"
261,"63.5%","52.6%","47.1%","15.6%","15.6%","16.7%","16.7%","546","452","405","134","134","144","144"
262,"13.1%","13.2%","8.7%","1.2%","1.2%","56.7%","1.2%","162","163","107","15","15","708","15"
263,"31.9%","31.7%","37.7%","37.7%","38.8%","38.8%","38.7%","304","328","396","402","425","425","423"
264,"96.1%","77.9%","78%","43.7%","68.8%","77.7%","40.5%","880","737","753","434","685","773","404"
265,"76.6%","76.6%","76.4%","68.2%","68%","68%","68%","418","418","418","373","374","374","374"
266,"34.3%","30.4%","30.3%","28.8%","27.5%","34.9%","33.7%","363","320","320","320","319","404","406"
267,"84.3%","96.9%","95.1%","92.3%","45.8%","45.7%","47.5%","1,241","1,528","1,520","1,519","844","844","905"
268,"100%","100%","100%","100%","98.1%","100%","100%","695","696","696","696","685","703","703"
269,"63.1%","28.3%","28.2%","28.2%","29.1%","9.9%","29%","757","339","340","341","361","123","363"
270,"100%","0%","0%","0%","0%","0%","0%","598","0","0","0","0","0","0"
271,"100%","100%","100%","100%","100%","100%","100%","448","448","448","446","445","445","446"
272,"71.8%","71.8%","71.8%","71.8%","0%","0%","6.9%","560","560","560","560","0","0","58"
273,"97.7%","97.7%","0.4%","0.4%","0.2%","0.2%","0%","669","679","3","3","2","2","0"
274,"100%","100%","100%","100%","100%","100%","100%","554","554","554","554","554","554","554"
275,"81.8%","81.3%","81.3%","45.6%","81.4%","81.5%","54.8%","732","728","728","408","728","729","495"
276,"1.5%","1.5%","1.5%","1.5%","6.9%","6.9%","6.9%","10","10","10","10","46","46","46"
277,"84.2%","62.8%","59.4%","40.4%","77.8%","80.7%","81.4%","449","378","395","320","870","1,031","1,144"
278,"100%","100%","100%","100%","100%","100%","100%","841","852","852","852","869","1,013","1,013"
279,"85.7%","71.1%","71.1%","68.4%","68.3%","68.3%","68.3%","746","619","619","595","594","594","594"
280,"4%","3.5%","0.5%","5.6%","0%","4.2%","0%","16","14","2","23","0","18","0"
281,"99.8%","99.8%","99.8%","99.8%","100%","100%","100%","460","481","481","481","586","654","654"
282,"97.9%","96.6%","95%","48.6%","47.4%","55.2%","53.1%","473","484","480","261","258","307","295"
283,"99.8%","81.9%","95%","95%","75.2%","76.1%","75.2%","1,055","862","997","1,001","793","816","812"
284,"0.7%","0.7%","0%","0%","67.3%","65.5%","64%","2","2","0","0","884","972","1,006"
285,"--","--","--","--","--","--","0%","0","0","0","0","0","0","0"
286,"0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0"
287,"52.6%","71.8%","72%","30.6%","75.4%","75.3%","75.5%","619","884","887","372","1,075","1,075","1,107"
288,"76.1%","84.9%","85.2%","85.4%","85.6%","99.5%","99.4%","742","829","845","850","854","1,241","1,240"
289,"64%","64.1%","64.9%","33.5%","59.2%","47.9%","43.9%","821","826","837","439","1,050","1,197","1,138"
290,"95.3%","97.6%","100%","97.6%","100%","99.8%","65.4%","221","406","416","402","323","1,496","1,733"
291,"100%","100%","100%","98.7%","99.8%","99.8%","98.7%","998","998","998","985","996","996","984"
292,"100%","100%","100%","100%","100%","100%","100%","420","415","416","406","394","401","437"
293,"100%","100%","100%","100%","100%","100%","100%","359","354","355","353","352","361","360"
294,"100%","100%","100%","100%","100%","100%","100%","435","434","432","476","480","485","568"
295,"100%","100%","100%","100%","100%","100%","100%","438","521","521","515","514","514","514"
296,"50.4%","50.5%","49%","46%","54.4%","53.2%","39.3%","239","250","269","307","474","474","474"
297,"68.2%","68%","68%","68%","68%","68%","68%","103","102","102","102","102","102","102"
298,"100%","100%","95.6%","95.6%","95.6%","95.6%","95.7%","799","798","763","763","763","763","783"
299,"98.9%","80.6%","100%","86.7%","73.3%","83.3%","73.3%","1,126","926","1,165","1,084","1,026","1,166","1,026"
300,"20.2%","98.8%","19.6%","98.8%","99.8%","100%","100%","116","569","113","569","569","570","579"
301,"100%","96.6%","94.9%","99.8%","74.3%","99.8%","74.2%","736","739","752","838","623","837","623"
302,"66.7%","43.7%","22.2%","22.2%","22.2%","22.2%","22.2%","804","527","267","267","267","267","267"
303,"98.4%","98.4%","98.4%","98.4%","98.5%","98.5%","98.6%","884","884","884","884","944","943","965"
304,"100%","100%","100%","100%","100%","100%","100%","378","378","378","378","378","378","378"
305,"82.5%","82.2%","70%","66.5%","69.4%","100%","100%","335","337","287","272","347","524","534"
306,"99.8%","99.7%","99.7%","99.8%","99.8%","99.8%","99.8%","433","359","355","410","501","490","489"
307,"99.8%","99.8%","99.4%","99.5%","99.5%","99.5%","93.7%","1,101","1,101","1,094","1,435","1,414","1,537","1,447"
308,"77.3%","94.8%","68.3%","64.6%","64.8%","64.7%","64.7%","320","456","338","320","320","319","319"
309,"17.3%","18%","21.6%","21.5%","18.8%","18.8%","18.8%","102","108","132","133","133","133","133"
310,"88.6%","88.4%","88.4%","68.5%","68.6%","68.7%","69.4%","722","722","725","563","565","567","585"
311,"100%","100%","100%","85.6%","86.9%","87.2%","87.1%","593","581","577","489","491","498","505"
312,"100%","100%","100%","100%","100%","100%","100%","624","624","623","622","621","622","623"
313,"99.8%","100%","100%","97.4%","72.6%","98%","5.7%","574","575","575","560","424","774","45"
314,"99.8%","98.6%","99.1%","99%","98.9%","99%","98.9%","948","935","939","922","934","937","933"
315,"100%","100%","100%","100%","100%","100%","100%","320","395","396","402","1,345","1,376","1,375"
316,"100%","100%","100%","100%","100%","100%","100%","1,449","1,449","1,449","1,449","1,433","1,433","1,434"
317,"13.6%","45.9%","46.2%","45.8%","45.1%","45%","44.7%","42","140","141","141","139","140","140"
318,"9.4%","25%","25%","32.6%","32.6%","36.3%","48.5%","65","173","173","251","251","280","474"
319,"100%","100%","100%","94.8%","100%","100%","99.9%","1,015","1,086","1,085","1,025","1,619","1,664","1,683"
320,"54.5%","60.5%","59.5%","52.1%","58.4%","57.9%","58.1%","259","288","278","232","263","261","261"
321,"100%","100%","100%","100%","100%","100%","100%","481","473","477","476","471","522","512"
322,"100%","100%","100%","83.8%","83.6%","83.6%","83.6%","426","426","426","357","357","357","357"
323,"80.9%","80.9%","85.7%","60.7%","60.8%","100%","100%","721","721","764","540","542","891","891"
324,"11.7%","0.7%","0.7%","0.5%","0.5%","21.7%","0.4%","69","4","4","3","3","149","3"
325,"94.1%","90.5%","89.5%","90.2%","91%","91%","90.4%","1,052","1,013","1,010","1,017","1,040","1,044","1,042"
326,"74.5%","74.7%","74.9%","74.6%","74.9%","74.9%","75.1%","307","307","307","306","308","308","308"
327,"100%","100%","100%","100%","100%","100%","100%","627","626","626","626","759","928","930"
328,"93.5%","97.4%","97.4%","93.7%","45.8%","46%","27.2%","357","372","372","356","171","172","148"
329,"99.7%","99.6%","99.6%","99.6%","86%","85.9%","76.4%","759","758","756","761","657","656","587"
330,"88.4%","58.4%","62.6%","27.1%","0%","27.7%","0%","655","432","465","209","0","210","0"
331,"97.3%","97.3%","97.3%","97.3%","93.6%","87.1%","77.8%","677","677","677","691","1,456","1,456","1,805"
332,"17.9%","16.7%","15.8%","14.4%","14.4%","14.4%","0%","108","108","107","103","103","103","0"
333,"100%","99.1%","99.1%","94.5%","99.3%","99.8%","85.7%","1,022","1,018","1,028","1,005","1,115","1,145","983"
334,"100%","100%","100%","100%","100%","100%","100%","360","356","356","356","356","356","356"
335,"83.3%","40.2%","38.9%","7.4%","7%","6.6%","6.3%","862","426","429","83","83","83","83"
336,"55.1%","49.6%","48.7%","57.5%","84.9%","86.5%","34.3%","899","894","911","1,099","2,333","2,647","1,087"
337,"47.3%","47.2%","84.6%","47.6%","47.1%","46.9%","46.9%","334","333","599","356","354","356","356"
338,"100%","100%","100%","100%","100%","100%","100%","1,053","1,053","1,334","1,295","1,918","1,918","2,607"
339,"100%","100%","100%","100%","100%","98.5%","98.7%","889","954","1,099","1,341","1,418","2,076","2,416"
343,"100%","100%","100%","100%","100%","100%","100%","940","844","858","860","1,058","1,168","1,511"
344,"100%","100%","100%","100%","100%","100%","100%","727","752","787","839","847","847","890"
345,"83.3%","72.8%","72.8%","67.3%","58.8%","47.1%","38.6%","315","275","275","255","223","256","229"
346,"77.5%","77.3%","77.3%","77.3%","62.1%","62.2%","62.3%","818","815","815","816","655","656","660"
347,"100%","100%","100%","100%","100%","100%","100%","278","347","347","348","404","475","606"
348,"86.7%","66.3%","71.4%","73.6%","45.4%","76.1%","0%","1,114","850","917","952","591","1,052","0"
349,"73.1%","73%","73%","68.1%","59.7%","73.5%","49.7%","577","576","576","452","311","565","381"
350,"43.2%","0%","0%","0%","0%","0%","0%","327","0","0","0","0","0","0"
351,"57.5%","0%","0%","0%","0%","0%","0%","227","0","0","0","0","0","0"
352,"100%","100%","100%","100%","100%","91.5%","100%","1,142","1,141","1,142","1,142","1,142","1,045","1,142"
353,"45.9%","10.1%","10.6%","10.3%","15.8%","48.3%","13.2%","444","100","106","103","170","538","174"
354,"100%","100%","100%","100%","100%","100%","100%","1,012","1,012","1,012","1,012","1,012","1,012","1,013"
355,"100%","100%","100%","100%","100%","100%","100%","1,049","1,049","1,049","1,049","1,058","1,058","1,149"
356,"34.8%","34.9%","53.6%","41%","38.4%","45.1%","39.1%","653","657","1,010","777","783","934","811"
357,"100%","100%","100%","100%","100%","100%","100%","1,401","1,401","1,440","1,446","1,276","1,237","1,234"
358,"40.2%","0%","21.4%","22.8%","15%","15%","15%","602","0","321","320","412","407","408"
359,"44.8%","22.8%","35.8%","35.8%","34%","33.9%","33.4%","473","242","380","381","382","382","382"
360,"94%","82.3%","45.4%","67.5%","41.8%","58.1%","42.9%","1,345","1,206","679","1,016","752","1,205","1,059"
361,"100%","100%","100%","100%","100%","85.4%","86.9%","456","451","451","755","1,584","1,620","1,838"
362,"100%","100%","96.6%","97.4%","97.4%","99.6%","98.4%","1,314","1,311","1,265","1,265","1,265","1,294","1,573"
363,"82.4%","83.7%","83.9%","84%","89.5%","89.8%","89.6%","923","1,011","1,013","1,007","1,030","1,054","1,058"
364,"99.9%","90.6%","58%","62.2%","64.1%","64.5%","64.1%","1,118","1,017","663","719","676","680","676"
365,"89.5%","84.8%","84.9%","84.9%","84.9%","84.9%","28.1%","581","700","701","699","692","694","229"
366,"74.6%","10.9%","10.5%","11.6%","12%","12%","1.5%","435","48","48","51","49","49","6"
367,"97.4%","98%","98.1%","61.5%","65.5%","65.6%","64.5%","2,479","2,681","2,671","1,906","2,276","2,274","2,350"
368,"98.1%","98%","72.8%","72.8%","72.8%","94.8%","94.8%","1,161","1,160","862","862","860","1,120","1,120"
369,"100%","100%","100%","100%","100%","100%","100%","527","509","469","450","444","1,031","1,053"
370,"52.9%","3.1%","3.1%","71.6%","75.3%","75.5%","73.7%","649","38","38","873","913","922","1,001"
371,"100%","100%","99.6%","99.5%","99%","98.7%","98.7%","2,258","2,256","2,244","2,242","2,218","2,836","3,031"
372,"35.2%","37.3%","52.2%","37.5%","50.7%","45.8%","44.7%","1,488","1,633","2,291","1,668","2,264","2,264","2,202"
373,"90.1%","77%","75.5%","87.6%","87.7%","78.4%","87.3%","999","854","836","972","985","883","980"
374,"97.2%","97.1%","95.7%","95.7%","95.6%","95.7%","95.8%","1,116","1,104","1,089","1,088","1,004","1,009","1,022"
375,"39.3%","34.5%","34.8%","34.6%","33%","33.4%","33.5%","338","298","301","300","296","295","295"
376,"79.7%","68.6%","68.5%","49.6%","27.8%","49.9%","0%","1,141","996","997","752","419","756","0"
377,"94.8%","95.5%","32.2%","31.4%","31.3%","31.3%","21.6%","1,854","1,900","646","651","653","653","459"
378,"99.6%","98.6%","95.8%","93.5%","83.5%","92.4%","92%","2,096","2,085","2,054","2,026","2,455","2,791","2,790"
379,"46.5%","46.5%","47.3%","48.1%","48.2%","48.2%","48.4%","607","610","625","649","659","659","664"
380,"29.9%","29.8%","29.6%","49.7%","49.8%","50%","50%","544","546","543","913","920","928","930"
381,"73.1%","71%","70.9%","95.2%","96.8%","96.8%","96.7%","1,279","1,239","1,237","1,923","2,898","2,899","2,896"
382,"100%","100%","100%","99.7%","99.8%","99.8%","99.8%","947","933","931","913","896","905","955"
383,"100%","93.1%","88.8%","86.2%","86%","86.1%","75.2%","1,596","1,481","1,413","1,371","1,385","1,411","1,235"
385,"100%","100%","99.6%","90.3%","90.5%","90.6%","90.9%","2,015","2,014","1,982","1,786","1,796","1,820","1,834"
386,"100%","100%","100%","92.3%","76.3%","77.9%","81.3%","846","847","845","764","874","972","1,275"
387,"97.4%","97.6%","97.7%","84.6%","84.5%","69.1%","84.1%","926","924","923","795","742","744","1,061"
388,"77.8%","77.6%","36.5%","78.2%","81.7%","82.9%","86.5%","651","642","356","1,133","1,271","1,398","1,868"
389,"99.5%","88%","94.4%","90.9%","90.4%","90.5%","90.4%","3,297","3,140","3,367","3,241","2,964","2,986","2,989"
390,"84.5%","84.4%","84.9%","84.4%","85.4%","85.7%","83.3%","668","666","663","663","750","764","747"
391,"75.3%","51.4%","51.4%","51.4%","21.9%","51.4%","5.4%","732","499","499","499","212","499","52"
392,"76.2%","57.7%","38.8%","56.3%","57.5%","61.2%","61.4%","3,074","2,324","1,586","2,325","2,216","2,348","2,397"
393,"73.3%","62.2%","68.2%","71.9%","51%","49.7%","49.5%","2,143","1,820","1,913","1,914","1,973","2,053","2,074"
394,"51.1%","55%","54.7%","26.8%","53.8%","54.2%","53.9%","731","789","791","385","766","786","773"
395,"9.2%","11%","12.3%","12.5%","8.7%","34%","32.8%","60","73","82","83","80","433","433"
396,"16.8%","16%","15.8%","16.7%","18.2%","18.5%","0%","163","158","158","175","212","221","0"
397,"100%","100%","100%","100%","100%","100%","100%","922","921","1,086","1,127","1,109","1,109","1,109"
398,"0.6%","2.1%","2.3%","2.4%","2.2%","7.5%","7.5%","2","8","9","10","10","34","34"
399,"81.2%","83.3%","80.6%","76.9%","68.6%","68.6%","68.6%","836","858","835","834","568","568","568"
