NPA,2013,2015,2016,2017,2018,2022,2023,2025
141,"1","1","1","1","1","2","2","2"
142,"2","2","2","1","1","2","2","2"
143,"1","2","2","2","2","2","2","2"
144,"1","1","1","1","1","--","--","1"
145,"1","1","1","1","1","--","--","1"
146,"1","1","2","2","2","2","2","2"
147,"1","1","1","1","1","1","2","1"
148,"1","1","1","1","1","1","1","1"
149,"1","1","1","1","1","1","2","1"
150,"1","1","1","1","1","1","1","1"
151,"2","1","2","1","1","1","1","1"
152,"1","1","1","1","1","2","2","2"
153,"2","2","2","2","2","2","2","2"
154,"2","2","2","2","2","2","2","2"
155,"1","1","1","1","1","1","1","1"
156,"1","1","1","1","1","1","1","1"
157,"2","1","2","1","1","2","2","2"
158,"1","1","1","1","1","2","2","1"
159,"2","2","2","2","2","2","2","2"
160,"1","1","1","1","1","2","2","2"
161,"1","1","1","1","1","1","1","1"
162,"1","1","1","1","1","1","1","1"
163,"2","2","2","2","2","2","2","2"
164,"2","2","2","2","2","2","2","2"
165,"1","1","1","1","1","2","1","1"
166,"1","2","2","2","2","2","2","2"
167,"1","1","1","1","1","2","2","2"
168,"1","1","1","1","1","2","2","2"
169,"2","2","2","2","2","1","2","2"
170,"1","1","1","1","1","1","1","1"
171,"1","1","1","1","1","1","1","1"
172,"1","1","1","1","1","2","2","2"
173,"1","1","1","1","1","1","1","1"
174,"1","1","1","1","1","--","2","1"
175,"1","1","1","1","1","2","2","2"
176,"2","2","2","2","2","2","2","2"
177,"1","1","1","1","1","1","2","2"
178,"1","1","1","1","1","1","1","1"
179,"2","2","2","2","2","2","2","2"
180,"1","1","1","1","2","2","2","2"
181,"1","1","2","1","1","1","1","1"
182,"2","2","2","1","1","2","2","2"
183,"1","1","1","1","1","2","2","1"
184,"2","2","2","2","2","2","2","2"
185,"1","1","1","1","1","1","3","3"
186,"1","1","2","1","1","2","2","2"
187,"1","1","1","1","1","1","1","1"
188,"1","1","1","1","1","1","1","1"
189,"2","2","2","2","2","1","1","2"
190,"1","1","2","1","1","2","2","2"
191,"1","1","1","1","1","1","2","2"
192,"1","1","1","1","1","1","1","1"
193,"2","1","2","2","2","2","2","2"
194,"1","1","1","1","1","--","--","1"
195,"1","1","1","1","1","1","1","1"
196,"1","1","1","1","1","1","1","1"
197,"1","1","1","1","1","2","2","2"
198,"1","1","1","1","1","1","1","1"
199,"1","1","1","1","1","2","2","1"
200,"1","1","2","2","2","2","2","2"
201,"1","1","2","1","1","1","1","1"
202,"1","1","1","1","1","2","2","2"
203,"2","1","2","2","2","2","2","2"
204,"1","1","1","1","1","1","1","2"
205,"1","1","1","1","1","1","1","1"
206,"1","1","1","1","1","1","1","1"
207,"1","1","1","1","1","1","2","1"
208,"2","2","2","2","2","2","2","2"
